fecha_publicacion,fecha_larga,agno,nivel,entidad,seccion,titulo,subtitulo,descripcion,presupuesto,num_beneficiarios,link_publicacion
3/10/2020,Sábado 3 de Octubre del 2020  ,2020,Alcaldía,Iztapalapa,Cultura,Apoyo económico a comparsas culturales,Ayuda Económica a Personas que Integran la Salvaguarda y Preservación de las Comparsas en Iztapalapa,"Se otorgará una transferencia monetaria hasta 165 comparsas para promover la participación de los pueblos y barrios originarios asentados en la demarcación territorial y preservar, difundir su patrimonio, cultura, identidad, festividades.",4614000,165,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/43c0d9e16ad7fe1b8372ca6d8e446396.pdf
19/10/2020,Lunes 19 de Octubre del 2020  ,2020,Alcaldía,Magdalena Contreras,Clima,Contreras apoya desastres naturales,"Contreras te Cuida, Apoyo para desastres naturales.","Se entregará una transferencia monetaria  a 540  familias afectada por una emergencia provocada por un desastre natural, contingencias sociales o de sanidad",5000000,540,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/ac37aeca8e4d179199d5dc3c841d503a.pdf
20/10/2020,Martes 20 de Octubre del 2020  ,2020,Alcaldía,Iztapalapa,Clima,Apoyo económico por desastres naturales varios,"Ayuda económica extraordinaria a las personas que resulten afectadas en sus viviendas o bienes patrimoniales por causa de algún evento de carácter hidrometeorológico, geológico, sísmico, sanitario, químico, pírico o socio-organizativo",Se entregará una transferencia monetaria  a cada familia afectada por una emergencia provocada por una emergencia social o natural.,1500000,,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/53416650201f1180bf14133b6ffa5e7d.pdf
21/10/2020,Miércoles 21 de Octubre del 2020  ,2020,Alcaldía,Coyoacán,Alimentación,Despensas entregadas en Coyoacán,Apoyo Alimentario en Especie (Despensas Coyoacán),"Se otorgará una transferencia en especie a 24,128 familias de Coyoacán mediante la entrega de apoyo alimentario.",10000000,24218,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/33acd57a247cdab66d7fd0a24b7cd096.pdf
21/10/2020,Miércoles 21 de Octubre del 2020  ,2020,Alcaldía,Coyoacán,Cultura,Apoyo a locatarios mercado artesanal,Apoyo a Locatarios del Mercado Artesanal Mexicano 414,"Se otorgarán unatransferencia monetaria emergente hasta para 453 locatarios del del Mercado Artesanal Mexicano 414 de la Alcaldía de Coyoacán, que detendrán parcialmente su actividad por los trabajos de mantenimientos, remodelación y rehabilitación que se llevarán a cabo a partir del 28 de septiembre del presente año.",2265000,453,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/33acd57a247cdab66d7fd0a24b7cd096.pdf
23/10/2020,Viernes 23 de Octubre del 2020,2020,Alcaldía,Miguel Hidalgo,Vivienda,Mejoras a viviendas precarias 2020,"Mejoramiento de Viviendas en Condición Precaria o en Situación de Riesgo”, para el ejercicio fiscal 2020",Otorgar transferencias a un máximo de 121 viviendas que presentan deterioro físico o funcional por falta de mantenimiento paso derivado del paso del tiempo ubicadas en zonas de bajo y muy bajo IDS.,20072113,122,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/92ecbd4d69284afba09a28d65db8bfd1.pdf
30/10/2020,Viernes 30 de Octubre del 2020  ,2020,Alcaldía,Benito Juárez,Seguridad,Reconocimiento a seguridad en Benito Juárez,Reconocimiento al Mérito a la Seguridad Ciudadana y a la Procuración de Justicia en Benito Juárez,Se otorgarán transferencias monetarias a 146 elementos de seguridad como reconocimiento a su labor.,1500000,146,https://alcaldiabenitojuarez.gob.mx/triforce.php?id=149
30/10/2020,Viernes 30 de Octubre del 2020  ,2020,Alcaldía,Magdalena Contreras,Alimentación,Contreras te cuida con alimentos,Contreras te Cuida Apoyo Alimentario,"Se otorgarán paquetes alimentarios a 10,000 habitantes de la demarcación.",3000000,10000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d3f7b49bcb3cfea3806aa7e031f2a68d.pdf
30/10/2020,Viernes 30 de Octubre del 2020  ,2020,Alcaldía,Magdalena Contreras,Cultura,Festividad tradicional Día de Muertos,Festividad Tradicional de día de Muertos,Se otorgarán transferencias  en especie (pan de muerto y dulces) en el marco de las festividades,600000,4000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d3f7b49bcb3cfea3806aa7e031f2a68d.pdf
30/10/2020,Viernes 30 de Octubre del 2020  ,2020,Alcaldía,Magdalena Contreras,Mujeres,Brigadas erradican violencia hacia mujeres,Brigadas de Mujeres para Erradicar la Violencia,Campañas para la prevención de la violencia de género,800000,100,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d3f7b49bcb3cfea3806aa7e031f2a68d.pdf
